LYLTY_CARD_NBR,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
1000,216,1,6.0,3,1,4,314,At Risk
1307,7,1,6.300000000000001,3,1,4,314,At Risk
1343,1,1,2.9,5,1,1,511,At Risk
2373,277,1,15.0,2,1,5,215,Lost
2426,276,1,13.8,2,1,5,215,Lost
4074,2,1,5.1,5,1,3,513,At Risk
4149,5,1,5.7,4,1,4,414,At Risk
4196,5,1,3.6,4,1,1,411,At Risk
5026,274,1,3.9,3,1,2,312,At Risk
7150,276,1,7.2,2,1,4,214,Lost
7215,4,1,5.7,4,1,4,414,At Risk
8294,274,1,23.0,3,1,5,315,At Risk
9208,3,1,9.2,5,1,5,515,At Risk
13213,277,1,1.7,2,1,1,211,Lost
19272,6,1,3.3,3,1,1,311,At Risk
20164,2,1,2.1,5,1,1,511,At Risk
20418,276,1,9.2,2,1,5,215,Lost
22411,280,1,3.0,1,1,1,111,Lost
22456,277,1,3.9,2,1,2,212,Lost
23067,5,1,2.1,4,1,1,411,At Risk
25105,2,1,5.7,5,1,4,514,At Risk
33081,278,1,3.0,1,1,1,111,Lost
36012,278,1,3.8,1,1,2,112,Lost
36302,275,1,5.4,2,1,3,213,Lost
38142,279,1,9.2,1,1,5,115,Lost
39144,6,1,5.1,3,1,3,313,At Risk
39167,275,1,6.0,2,1,4,214,Lost
41423,6,1,5.4,3,1,3,313,At Risk
41486,279,1,2.7,1,1,1,111,Lost
43110,1,1,3.8,5,1,2,512,At Risk
43147,5,1,3.7,4,1,2,412,At Risk
43227,6,1,14.8,3,1,5,315,At Risk
45127,1,1,5.4,5,1,3,513,At Risk
45220,3,1,3.3,5,1,1,511,At Risk
51100,275,2,5.7,2,5,4,254,Need Attention
51113,276,1,5.4,2,1,3,213,Lost
54226,277,1,4.4,2,1,3,213,Lost
54305,276,1,6.6,2,2,4,224,Lost
55072,7,2,5.6,3,5,4,354,Loyal
55073,1,2,7.85,5,5,4,554,Champion
55202,5,1,3.0,4,2,1,421,At Risk
56013,276,1,2.6,2,2,1,221,Lost
58324,5,1,5.4,4,2,3,423,At Risk
59344,5,1,3.8,4,2,2,422,At Risk
60038,278,1,3.8,1,2,2,122,Lost
60162,6,1,5.7,3,2,4,324,At Risk
62177,7,1,4.6,3,2,3,323,At Risk
63201,1,1,2.6,5,2,1,521,At Risk
67053,274,1,5.4,3,2,3,323,At Risk
71122,1,1,3.3,5,2,1,521,At Risk
71212,2,1,5.8,5,2,4,524,At Risk
72094,277,1,5.7,2,2,4,224,Lost
72335,5,1,3.8,4,2,2,422,At Risk
74336,5,1,15.5,4,2,5,425,At Risk
75091,7,1,7.8,3,2,4,324,At Risk
75186,275,1,9.2,2,2,5,225,Lost
75309,280,1,4.2,1,2,2,122,Lost
80182,274,1,5.4,3,2,3,323,At Risk
81357,1,1,5.4,5,2,3,523,At Risk
82114,7,1,7.4,3,2,4,324,At Risk
82480,6,1,2.6,3,2,1,321,At Risk
83008,1,2,16.0,5,5,5,555,Champion
83062,7,1,7.4,3,2,4,324,At Risk
