customer_key,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score,Segment,Churn_Risk
1,215,2,506.0,3.0,5.0,5.0,355,Loyal Customers,High Risk
2,6,1,6.3,3.0,1.0,4.0,314,Potential Loyalists,Low Risk
3,0,2,5.8,5.0,5.0,4.0,554,Champions,Low Risk
4,276,1,15.0,2.0,1.0,5.0,215,Hibernating,High Risk
5,275,1,13.8,2.0,1.0,5.0,215,Hibernating,High Risk
6,1,1,5.1,5.0,1.0,3.0,513,Potential Loyalists,Low Risk
7,4,1,5.7,4.0,1.0,4.0,414,Potential Loyalists,Low Risk
8,4,1,3.6,4.0,1.0,1.0,411,Potential Loyalists,Low Risk
9,273,1,3.9,3.0,1.0,2.0,312,Potential Loyalists,High Risk
10,275,1,7.2,2.0,1.0,4.0,214,Hibernating,High Risk
11,3,1,5.7,4.0,1.0,4.0,414,Potential Loyalists,Low Risk
12,273,1,23.0,3.0,1.0,5.0,315,Potential Loyalists,High Risk
13,2,1,9.2,5.0,1.0,5.0,515,Potential Loyalists,Low Risk
14,276,1,1.7,2.0,1.0,1.0,211,Hibernating,High Risk
15,5,1,3.3,3.0,1.0,1.0,311,Potential Loyalists,Low Risk
16,1,1,2.1,5.0,1.0,1.0,511,Potential Loyalists,Low Risk
17,275,1,9.2,2.0,1.0,5.0,215,Hibernating,High Risk
18,279,1,3.0,1.0,1.0,1.0,111,Hibernating,High Risk
19,276,1,3.9,2.0,1.0,2.0,212,Hibernating,High Risk
20,4,1,2.1,4.0,1.0,1.0,411,Potential Loyalists,Low Risk
21,1,1,5.7,5.0,1.0,4.0,514,Potential Loyalists,Low Risk
22,277,1,3.0,1.0,1.0,1.0,111,Hibernating,High Risk
23,277,1,3.8,1.0,1.0,2.0,112,Hibernating,High Risk
24,274,1,5.4,2.0,1.0,3.0,213,Hibernating,High Risk
25,278,1,9.2,1.0,1.0,5.0,115,Hibernating,High Risk
26,5,1,5.1,3.0,1.0,3.0,313,Potential Loyalists,Low Risk
27,274,1,6.0,2.0,1.0,4.0,214,Hibernating,High Risk
28,5,1,5.4,3.0,1.0,3.0,313,Potential Loyalists,Low Risk
29,278,1,2.7,1.0,1.0,1.0,111,Hibernating,High Risk
30,0,1,3.8,5.0,1.0,2.0,512,Potential Loyalists,Low Risk
31,4,1,3.7,4.0,1.0,2.0,412,Potential Loyalists,Low Risk
32,5,1,14.8,3.0,1.0,5.0,315,Potential Loyalists,Low Risk
33,0,1,5.4,5.0,1.0,3.0,513,Potential Loyalists,Low Risk
34,2,1,3.3,5.0,1.0,1.0,511,Potential Loyalists,Low Risk
35,274,2,5.7,2.0,5.0,4.0,254,At Risk,High Risk
36,275,1,5.4,2.0,1.0,3.0,213,Hibernating,High Risk
37,276,1,4.4,2.0,1.0,2.0,212,Hibernating,High Risk
38,275,1,6.6,2.0,1.0,4.0,214,Hibernating,High Risk
39,6,2,5.6,3.0,5.0,4.0,354,Loyal Customers,Low Risk
40,0,2,7.85,5.0,5.0,4.0,554,Champions,Low Risk
41,4,1,3.0,4.0,1.0,1.0,411,Potential Loyalists,Low Risk
42,275,1,2.6,2.0,1.0,1.0,211,Hibernating,High Risk
43,4,1,5.4,4.0,1.0,3.0,413,Potential Loyalists,Low Risk
44,4,1,3.8,4.0,1.0,2.0,412,Potential Loyalists,Low Risk
45,277,1,3.8,1.0,1.0,2.0,112,Hibernating,High Risk
46,5,1,5.7,3.0,1.0,4.0,314,Potential Loyalists,Low Risk
47,6,1,4.6,3.0,1.0,3.0,313,Potential Loyalists,Low Risk
48,0,1,2.6,5.0,1.0,1.0,511,Potential Loyalists,Low Risk
49,273,1,5.4,3.0,1.0,3.0,313,Potential Loyalists,High Risk
50,0,1,3.3,5.0,1.0,1.0,511,Potential Loyalists,Low Risk
51,1,1,5.8,5.0,1.0,4.0,514,Potential Loyalists,Low Risk
52,276,1,5.7,2.0,1.0,4.0,214,Hibernating,High Risk
53,4,1,3.8,4.0,1.0,2.0,412,Potential Loyalists,Low Risk
54,4,1,15.5,4.0,1.0,5.0,415,Potential Loyalists,Low Risk
55,6,1,7.8,3.0,1.0,4.0,314,Potential Loyalists,Low Risk
56,274,1,9.2,2.0,1.0,5.0,215,Hibernating,High Risk
57,279,1,4.2,1.0,1.0,2.0,112,Hibernating,High Risk
58,273,1,5.4,3.0,1.0,3.0,313,Potential Loyalists,High Risk
59,0,1,5.4,5.0,1.0,3.0,513,Potential Loyalists,Low Risk
60,6,1,7.4,3.0,1.0,4.0,314,Potential Loyalists,Low Risk
61,5,1,2.6,3.0,1.0,1.0,311,Potential Loyalists,Low Risk
62,0,2,16.0,5.0,5.0,5.0,555,Champions,Low Risk
63,6,1,7.4,3.0,1.0,4.0,314,Potential Loyalists,Low Risk
64,277,1,6.5,1.0,1.0,4.0,114,Hibernating,High Risk
65,3,1,4.4,4.0,1.0,2.0,412,Potential Loyalists,Low Risk
66,0,1,9.2,5.0,1.0,5.0,515,Potential Loyalists,Low Risk
67,4,1,4.3,4.0,1.0,2.0,412,Potential Loyalists,Low Risk
68,278,1,5.1,1.0,1.0,3.0,113,Hibernating,High Risk
69,274,1,28.5,2.0,1.0,5.0,215,Hibernating,High Risk
70,5,1,3.8,3.0,1.0,2.0,312,Potential Loyalists,Low Risk
71,277,1,7.5,1.0,1.0,4.0,114,Hibernating,High Risk
72,275,1,3.0,2.0,1.0,1.0,211,Hibernating,High Risk
73,276,1,5.4,2.0,1.0,3.0,213,Hibernating,High Risk
74,276,1,4.3,2.0,1.0,2.0,212,Hibernating,High Risk
75,279,1,3.9,1.0,1.0,2.0,112,Hibernating,High Risk
76,277,1,5.4,1.0,1.0,3.0,113,Hibernating,High Risk
77,0,2,10.5,5.0,5.0,5.0,555,Champions,Low Risk
78,6,1,2.9,3.0,1.0,1.0,311,Potential Loyalists,Low Risk
79,5,1,2.6,3.0,1.0,1.0,311,Potential Loyalists,Low Risk
80,275,1,5.4,2.0,1.0,3.0,213,Hibernating,High Risk
81,2,1,3.6,5.0,1.0,1.0,511,Potential Loyalists,Low Risk
82,1,1,3.0,5.0,1.0,1.0,511,Potential Loyalists,Low Risk
83,278,1,5.1,1.0,1.0,3.0,113,Hibernating,High Risk
84,273,1,4.4,3.0,1.0,2.0,312,Potential Loyalists,High Risk
85,4,1,3.7,4.0,1.0,2.0,412,Potential Loyalists,Low Risk
86,1,1,5.4,5.0,1.0,3.0,513,Potential Loyalists,Low Risk
87,1,1,5.4,5.0,1.0,3.0,513,Potential Loyalists,Low Risk
88,2,1,2.7,5.0,1.0,1.0,511,Potential Loyalists,Low Risk
89,275,1,3.9,2.0,1.0,2.0,212,Hibernating,High Risk
90,4,1,3.8,4.0,1.0,2.0,412,Potential Loyalists,Low Risk
91,5,1,5.4,3.0,1.0,3.0,313,Potential Loyalists,Low Risk
92,279,1,4.4,1.0,1.0,2.0,112,Hibernating,High Risk
93,275,2,7.1,2.0,5.0,4.0,254,At Risk,High Risk
94,5,1,3.4,3.0,1.0,1.0,311,Potential Loyalists,Low Risk
95,0,1,19.0,5.0,1.0,5.0,515,Potential Loyalists,Low Risk
96,6,1,11.8,3.0,1.0,5.0,315,Potential Loyalists,Low Risk
97,5,1,17.6,3.0,1.0,5.0,315,Potential Loyalists,Low Risk
98,4,1,4.4,4.0,1.0,2.0,412,Potential Loyalists,Low Risk
99,273,1,4.6,3.0,1.0,3.0,313,Potential Loyalists,High Risk
100,278,1,4.6,1.0,1.0,3.0,113,Hibernating,High Risk
101,1,1,5.4,5.0,1.0,3.0,513,Potential Loyalists,Low Risk
102,276,1,9.0,2.0,1.0,5.0,215,Hibernating,High Risk
103,4,1,3.8,4.0,1.0,2.0,412,Potential Loyalists,Low Risk
104,0,1,13.2,5.0,1.0,5.0,515,Potential Loyalists,Low Risk
105,278,1,9.2,1.0,1.0,5.0,115,Hibernating,High Risk
106,2,2,5.699999999999999,5.0,5.0,4.0,554,Champions,Low Risk
107,276,1,3.7,2.0,1.0,2.0,212,Hibernating,High Risk
108,277,1,10.2,1.0,1.0,5.0,115,Hibernating,High Risk
109,274,1,13.0,2.0,1.0,5.0,215,Hibernating,High Risk
110,278,1,4.2,1.0,1.0,2.0,112,Hibernating,High Risk
111,4,1,3.0,4.0,1.0,1.0,411,Potential Loyalists,Low Risk
112,1,1,2.7,5.0,1.0,1.0,511,Potential Loyalists,Low Risk
113,278,1,3.3,1.0,1.0,1.0,111,Hibernating,High Risk
114,278,1,3.8,1.0,1.0,2.0,112,Hibernating,High Risk
115,0,1,7.8,5.0,1.0,4.0,514,Potential Loyalists,Low Risk
116,2,1,3.8,5.0,1.0,2.0,512,Potential Loyalists,Low Risk
117,3,1,7.8,4.0,1.0,4.0,414,Potential Loyalists,Low Risk
118,3,1,15.2,4.0,1.0,5.0,415,Potential Loyalists,Low Risk
119,273,2,11.6,3.0,5.0,5.0,355,Loyal Customers,High Risk
120,274,1,5.4,2.0,1.0,3.0,213,Hibernating,High Risk
121,0,2,14.4,5.0,5.0,5.0,555,Champions,Low Risk
122,275,2,13.799999999999999,2.0,5.0,5.0,255,At Risk,High Risk
123,274,1,5.1,2.0,1.0,3.0,213,Hibernating,High Risk
124,279,1,4.4,1.0,1.0,2.0,112,Hibernating,High Risk
125,2,1,9.2,5.0,1.0,5.0,515,Potential Loyalists,Low Risk
126,276,1,6.6,2.0,1.0,4.0,214,Hibernating,High Risk
127,277,1,3.9,1.0,1.0,2.0,112,Hibernating,High Risk
128,6,1,3.3,3.0,1.0,1.0,311,Potential Loyalists,Low Risk
129,273,1,14.5,3.0,1.0,5.0,315,Potential Loyalists,High Risk
130,3,1,5.4,4.0,1.0,3.0,413,Potential Loyalists,Low Risk
131,276,1,5.6,2.0,1.0,4.0,214,Hibernating,High Risk
132,4,2,8.4,4.0,5.0,4.0,454,Champions,Low Risk
133,1,1,10.8,5.0,1.0,5.0,515,Potential Loyalists,Low Risk
134,273,1,3.9,3.0,1.0,2.0,312,Potential Loyalists,High Risk
135,279,1,5.8,1.0,1.0,4.0,114,Hibernating,High Risk
136,5,1,1.7,3.0,1.0,1.0,311,Potential Loyalists,Low Risk
137,275,1,4.6,2.0,1.0,3.0,213,Hibernating,High Risk
138,5,2,12.2,3.0,5.0,5.0,355,Loyal Customers,Low Risk
139,3,1,10.4,4.0,1.0,5.0,415,Potential Loyalists,Low Risk
140,1,1,3.3,5.0,1.0,1.0,511,Potential Loyalists,Low Risk
141,275,1,11.4,2.0,1.0,5.0,215,Hibernating,High Risk
142,3,2,5.8,4.0,5.0,4.0,454,Champions,Low Risk
143,3,1,4.2,4.0,1.0,2.0,412,Potential Loyalists,Low Risk
144,0,1,2.1,5.0,1.0,1.0,511,Potential Loyalists,Low Risk
145,1,1,3.7,5.0,1.0,2.0,512,Potential Loyalists,Low Risk
146,2,1,3.7,5.0,1.0,2.0,512,Potential Loyalists,Low Risk
147,6,1,3.25,3.0,1.0,1.0,311,Potential Loyalists,Low Risk
148,275,1,1.5,2.0,1.0,1.0,211,Hibernating,High Risk
149,276,1,4.6,2.0,1.0,3.0,213,Hibernating,High Risk
150,4,1,4.6,4.0,1.0,3.0,413,Potential Loyalists,Low Risk
